"_","Id","Name","BillingStreet","ShippingStreet","Record_Type_Name__c","Account_Name_DBA_2__c","of_Roles__c","NPI__c"
"[Account]","0011J000018U31WQAS","Allcare Medical & Injury","740 Florida Central pkwy ste 2052","740 Florida Central Parkway Suite 2052","Business Account","Allcare Medical & Injury","0",""
"[Account]","0011J000018UOOQQA4","All natural Wellness","660 Florida Central Pkwy","","Business Account","","0",""
"[Account]","0011J000018UxZ9QAK","Centra Care","55 S US Hwy 17 92","","Business Account","","0",""
"[Account]","0011J000018UxbPQAS","Longwood Centra Care","855 S US Hwy 17 92","","Business Account","","0",""
"[Account]","0011J000018hzN8QAI","Cora Rehab","","","Business Account","","0",""
"[Account]","0011J000018jAtJQAU","Dr. Johnson","","","Business Account","","0",""
"[Account]","0011J000019tsbpQAA","Centrua Care","855 S HWY 17-92","","Business Account","","0",""
"[Account]","0011J00001AAbLZQA1","CVS Pharmacy","3905 Wekiva Springs Road","3905 Wekiva Springs Road","Business Account","CVS Pharmacy","2","1164526067"
"[Account]","0011J00001C4jqTQAR","Samuel jean md","","","Business Account","","0",""
"[Account]","0011J00001Cw6EWQAZ","CVS","130 E State Rd 434","130 E State Rd 434","Business Account","CVS","1",""
"[Account]","0011J00001CzIIAQA3","Dr Bruce Hoffen","","","Business Account","","0",""
"[Account]","0011J00001EARpsQAH","Dr. Sharfman Neurology","2137 W. SR 434","","Business Account","","3",""
"[Account]","0011J00001EAdX0QAL","The Nation Law Firm LLP","570 Crown Oak Centre Dr.","","Morgan & Morgan Businesses","","280",""
"[Account]","0011J00001EAe0cQAD","Adult Medicine Specialists","280 Wekiva Springs Rd. Suite 1000","280 Wekiva Springs Road, Suite 1000","Business Account","Adult Medicine Specialists","7",""
"[Account]","0011J00001EAeHsQAL","The Dermatology Group PA","521 West State Road 434 Suite 301","521 West State Road 434 Suite 301","Business Account","The Dermatology Group PA","1",""
"[Account]","0011J00001EAgqPQAT","CORA Rehabilitaiton Clinics","765 West State Road 434","765 W State Rd 434 A","Business Account","CORA Rehabilitation Clinic","8",""
"[Account]","0011J00001EAhCQQA1","Rock Lake School","250 Slade Dr.","250 Slade Dr.","Business Account","Rock Lake School","2",""
"[Account]","0011J00001EAhIkQAL","Family Physicians of Longwood","500 FL-434","500 FL-434","Business Account","Family Physicians of Longwood","2",""
"[Account]","0011J00001EAhweQAD","North Orlando Spine Center","2160 West State Road 434, Suite 108","2160 West State Road 434, Suite 108","Business Account","North Orlando Spine","69",""
"[Account]","0011J00001EAjzlQAD","Central Florida Inpat Medicine","2180 W State Road 434, Suite 2110","2180 W State Road 434
Suite 2110","Business Account","Central Florida Inpatient Medicine","1",""
"[Account]","0011J00001EAkzDQAT","Eye Physicians, PA","225 W. SR 434
Suite 111","225 W. SR 434 Suite 111","Business Account","Eye Physicians, PA","0",""
"[Account]","0011J00001EAl46QAD","Orlando Orthopedic Center","bad address 515 W State Road 434","","Business Account","","1",""
"[Account]","0011J00001EAlU1QAL","CORA Rehabilitation Clinics","765 W State Rd 434 A","765 W State Rd 434","Business Account","Cora Rehabilitation","9",""
"[Account]","0011J00001EAn4cQAD","Shepherd's Hope Sharing Center","600 N. US Hwy. 17 92 #124","","Business Account","","4",""
"[Account]","0011J00001EAp0vQAD","Longwood Medical Group- Longwood Location","450 West SR 434 Suite 3010","450 West SR 434
Suite 3010","Business Account","Longwood Medical Group","27",""
"[Account]","0011J00001EApA4QAL","Impower","111 West Magnolia Avenue","111 West Magnolia Avenue","Business Account","IMPOWER Inc.","55","1255005161"
"[Account]","0011J00001EApMFQA1","Longwood Cardiology PA","450 W State Rd 434
Ste 3010","450 W State Rd 434 Ste 3010","Business Account","Longwood Cardiology PA","3",""
"[Account]","0011J00001EBIXhQAP","Longwood Pediatrics","1384 W State Road 434 #206","","Business Account","","0",""
"[Account]","0011J00001EBotzQAD","Simon Medical Imagaing","225 W Sr 434","225 W Sr 434","Business Account","Simon Medical Imagaing","1",""
"[Account]","0011J00001ECTj3QAH","Dr. Ashish Gupta","521 W. S.R. 434, Suite 308","521 W. S.R. 434, Suite 308","Business Account","Dr. Ashish Gupta","1",""
"[Account]","0011J00001ECTo8QAH","Orlando Health South Seminole Hospital","555 W. S.R. 434","555 W. S.R. 434","Business Account","Orlando Health South Seminole Hospital","1",""
"[Account]","0011J00001EChWSQA1","Centra Care Walk-In Clinic","855 S. Highway 17-92","","Business Account","","0",""
"[Account]","0011J00001ECrpWQAT","Physician Associates - Longwood","550 E State Rd 434","550 E State Rd 434","Business Account","Physician Associates - Longwood Sleep Clinic","1",""
"[Account]","0011J00001EI4EbQAL","Florida Injury Longwood","410 Ronald Reagan Blvd","410 Ronald Reagan Blvd","Business Account","Florida Injury Longwood","0",""
"[Account]","0011J00001EIX9EQAX","Island Lake Rehabilitation Center","155 Landover Place","155 Landover Place","Business Account","Island Lake Center","5",""
"[Account]","0011J00001FRax0QAD","CORA Rehab","","","Business Account","","0",""
"[Account]","0011J00001FSCj2QAH","Yaritcia F. Brown","570 Crown Oak Centre Drive","570 Crown Oak Centre Drive","Employee","","0",""
