AccountId1,AccountId2,MatchPercentage,RoleCount
0011J000018UxbPQAS,0011J000018UxZ9QAK,0.964,0
0011J000018UxZ9QAK,0011J000018UxbPQAS,0.964,0
0011J00001EAdX0QAL,0011J00001LFAcyQAH,0.928,280
0011J00001EAdX0QAL,0011J00001NLfNXQA1,1,280
0011J00001EAdX0QAL,0011J00001OXl6QQAT,1,280
0011J00001EAdX0QAL,0011J00001OY9DbQAL,0.9219999999999999,280
0011J00001EAdX0QAL,0013c00001px4OgAAI,1,280
0011J00001EAdX0QAL,0013c00001uazzgAAA,0.928,280
0011J000018UxZ9QAK,001Nq00000XBzrQIAT,0.856,0
0011J00001EAdX0QAL,0013c00001yU1vSAAS,0.928,280
0011J00001EAdX0QAL,0013c000020vVwVAAU,1,280
0011J00001EAdX0QAL,0013c000020vfu3AAA,0.85,280
0011J00001EAgqPQAT,0011J00001Omny0QAB,0.86,8
0011J00001EAeHsQAL,0011J00001PySUMQA3,0.8780000000000001,1
0011J00001Cw6EWQAZ,001Nq00000XCOFmIAP,0.91,1
0011J000018UxZ9QAK,001Nq00000as3nyIAA,0.8919999999999999,0
0011J00001EAgqPQAT,0013c000020vZC1AAM,0.86,8
0011J00001AAbLZQA1,001Nq00000as5D1IAI,0.922,2
0011J00001AAbLZQA1,001Nq00000as5KrIAI,1,2
0011J000018UxZ9QAK,001o000000xWx5LAAS,1,0
0011J000018UxZ9QAK,001o000000yiooUAAQ,0.964,0
0011J000018UxbPQAS,001Nq00000arqTcIAI,1,0
0011J000018UxbPQAS,001Nq00000as3nyIAA,1,0
0011J00001EAkzDQAT,0011J00001OXdsaQAD,0.9299999999999999,0
0011J000018UxbPQAS,001o000000xWx5LAAS,0.964,0
0011J000018UxbPQAS,001o000000yiooUAAQ,1,0
0011J00001EAkzDQAT,0011J00001OXfmrQAD,0.96,0
0011J00001EAdX0QAL,001Nq00000XCO6DIAX,0.85,280
0011J00001EAhweQAD,0013c00001ub3EvAAI,0.8600000000000001,69
0011J00001EAdX0QAL,001Nq00000arpUtIAI,0.928,280
0011J00001EAdX0QAL,001Nq00000as0haIAA,1,280
0011J00001EAeHsQAL,001Nq00000XCAGaIAP,0.8780000000000001,1
0011J00001EAdX0QAL,001o000000tkgYcAAI,0.928,280
0011J00001EAhCQQA1,001Nq00000XCNnOIAX,1,2
0011J00001EAlU1QAL,0013c000020vHrpAAE,0.8919999999999999,9
0011J00001EAe0cQAD,001Nq00000arpUOIAY,0.9580000000000001,7
0011J00001EAe0cQAD,001Nq00000arpUQIAY,0.928,7
0011J00001EAjzlQAD,001Nq00000XCHPqIAP,0.9279999999999999,1
0011J00001EApA4QAL,0013c00001uYUpIAAW,0.9400000000000001,55
0011J00001EAp0vQAD,0013c000020yp7GAAQ,0.8639999999999999,27
0011J00001EApMFQA1,0013c00001yUUVjAAO,0.85,3
0011J00001EAhweQAD,001Nq00000XCNyJIAX,0.88,69
0011J00001EAp0vQAD,001Nq00000XCO5QIAX,0.8879999999999999,27
0011J00001EAp0vQAD,001Nq00000XCOA8IAP,0.8639999999999999,27
0011J00001EIX9EQAX,0011J00001OXmVRQA1,1,5
0011J00001ECrpWQAT,0013c000020PHrWAAW,0.91,1
0011J00001EIX9EQAX,0013c000020vHLbAAM,1,5
0011J00001ECrpWQAT,0013c000020y7G9AAI,0.8720000000000001,1
0011J00001EIX9EQAX,0013c000020vXzDAAU,1,5
0011J00001EIX9EQAX,0013c000020vcY1AAI,1,5
0011J00001EApMFQA1,001Nq00000as5ETIAY,0.85,3
0011J00001ECrpWQAT,001Nq00000XCHPIIA5,0.9400000000000001,1
0011J00001EChWSQA1,001Nq00000as3nRIAQ,0.91,0
0011J00001EIX9EQAX,001Nq00000as0hgIAA,1,5
0011J00001GdR6pQAF,001Nq00000XCNovIAH,1,2
0011J00001GaV6gQAF,001Nq00000as5OOIAY,1,2
0011J00001Hw1JvQAJ,0013c00001yWDB7AAO,0.908,2
0011J00001IiAkyQAF,001Nq00000XBzqyIAD,1,1
0011J00001GbPocQAF,001Nq00000XCNotIAH,1,3
0011J00001Hrs75QAB,001Nq00000XCNp2IAH,1,4
0011J00001JZpxsQAD,001Nq00000XCNm2IAH,0.8920000000000001,3
0011J00001GbPocQAF,001Nq00000as5XSIAY,0.8799999999999999,3
0011J00001LFAcyQAH,0011J00001EAdX0QAL,0.928,0
0011J00001LFAcyQAH,0011J00001NLfNXQA1,0.928,0
0011J00001JciZBQAZ,001Nq00000XBzr4IAD,1,0
0011J00001LFAcyQAH,0011J00001OXl6QQAT,0.928,0
0011J00001LFAcyQAH,0013c00001px4OgAAI,0.928,0
0011J00001LFAcyQAH,0013c00001uazzgAAA,1,0
0011J00001LFAcyQAH,0013c00001yU1vSAAS,1,0
0011J00001Hw1JvQAJ,001Nq00000arvW1IAI,1,2
0011J00001LFAcyQAH,0013c000020vVwVAAU,0.928,0
0011J00001KSy0OQAT,001Nq00000XCNxGIAX,0.9460000000000001,6
0011J00001KSy0OQAT,001Nq00000XCOFQIA5,1,6
0011J00001MyVbMQAV,0013c00001yVA2rAAG,0.8919999999999999,429
0011J00001MyVbMQAV,0013c00001yVNNVAA4,1,429
0011J00001MyVbMQAV,0013c000020vR6dAAE,0.9580000000000001,429
0011J00001MwgiIQAR,001Nq00000XBzrQIAT,0.856,0
0011J00001NLYlIQAX,0011J00001OXiYUQA1,1,0
0011J00001NCNdqQAH,001Nq00000XBzrUIAT,1,1
0011J00001NLYlIQAX,0013c00001oIU6qAAG,1,0
0011J00001NLfNXQA1,0011J00001EAdX0QAL,1,0
0011J00001NLfNXQA1,0011J00001LFAcyQAH,0.928,0
0011J00001MyVbMQAV,001Nq00000XBzrPIAT,1,429
0011J00001NLfNXQA1,0011J00001OXl6QQAT,1,0
0011J00001NLdDCQA1,0013c00001oIWOOAA4,1,0
0011J00001NLeqrQAD,0013c00001oIZ2bAAG,1,0
0011J00001LFAcyQAH,001Nq00000arpUtIAI,1,0
0011J00001LFAcyQAH,001Nq00000as0haIAA,0.928,0
0011J00001NLfNXQA1,0011J00001OY9DbQAL,0.9219999999999999,0
0011J00001LFAcyQAH,001o000000tkgYcAAI,1,0
0011J00001NLfNXQA1,0013c00001px4OgAAI,1,0
0011J00001LFBRsQAP,001Nq00000as5XoIAI,1,3
0011J00001LFBRsQAP,001o0000010rsegAAA,1,3
0011J00001NLfNXQA1,0013c00001uazzgAAA,0.928,0
0011J00001NLfNXQA1,0013c00001yU1vSAAS,0.928,0
0011J00001NcZ0FQAV,0011J00001OXheXQAT,0.98,3
0011J00001NLfNXQA1,0013c000020vVwVAAU,1,0
0011J00001NLfNXQA1,0013c000020vfu3AAA,0.85,0
0011J00001NcZ0FQAV,0011J00001OmtjWQAR,0.856,3
0011J00001Ncf9jQAB,0013c00001oJ87gAAC,1,0
0011J00001NLfgxQAD,0013c00001oIaNbAAK,1,0
0011J00001NLgNcQAL,0013c00001uauzjAAA,0.984,0
0011J00001Nd8SVQAZ,0011J00001OXk0pQAD,0.906,0
0011J00001NcZ0FQAV,0013c00001yU4yAAAS,0.856,3
0011J00001NcZ0FQAV,0013c00001yU6cJAAS,0.856,3
0011J00001NLgNcQAL,0013c00001yXPlNAAW,0.874,0
0011J00001NLfgxQAD,0013c000020vDyRAAU,0.8759999999999999,0
0011J00001NLgNcQAL,0013c000020vCiTAAU,0.984,0
0011J00001NcZ0FQAV,0013c000020vYvjAAE,1,3
0011J00001MyVbMQAV,001Nq00000as23uIAA,0.868,429
0011J00001MyVbMQAV,001Nq00000as3neIAA,0.8919999999999999,429
0011J00001NLYlIQAX,001Nq00000arqUAIAY,1,0
0011J00001Nd8SVQAZ,0013c000020vcHgAAI,0.896,0
0011J00001Nd8SVQAZ,0013c000020vnrlAAA,0.976,0
0011J00001Nd8SVQAZ,0013c000020vsrgAAA,0.8780000000000001,0
0011J00001NLfNXQA1,001Nq00000XCO6DIAX,0.85,0
0011J00001NLfNXQA1,001Nq00000arpUtIAI,0.928,0
0011J00001NLfNXQA1,001Nq00000as0haIAA,1,0
0011J00001NLfNXQA1,001o000000tkgYcAAI,0.928,0
0011J00001OXd6FQAT,001Nq00000XCNqoIAH,1,0
0011J00001NcZ0FQAV,001Nq00000arpUmIAI,1,3
0011J00001NLeqrQAD,001Nq00000arpUhIAI,1,0
0011J00001Nd8SVQAZ,001Nq00000XCHPDIA5,0.8780000000000001,0
0011J00001Ncf9jQAB,001Nq00000as5OYIAY,1,0
0011J00001NcZ0FQAV,001Nq00000as5EIIAY,0.856,3
0011J00001OXdAXQA1,001Nq00000XCNqqIAH,1,1
0011J00001Nd8SVQAZ,001Nq00000XCO5rIAH,0.85,0
0011J00001NLfgxQAD,001Nq00000as23pIAA,0.8759999999999999,0
0011J00001OXdC0QAL,001Nq00000XCNqrIAH,1,0
0011J00001Nd8SVQAZ,001Nq00000as5CXIAY,0.906,0
0011J00001OXd85QAD,001Nq00000XCNqpIAH,1,0
0011J00001OXdG7QAL,0013c000020yh0AAAQ,0.8580000000000001,3
0011J00001OXdR8QAL,0011J00001OXeuMQAT,0.8979999999999999,11
0011J00001OXdCDQA1,001Nq00000XCNqsIAH,1,1
0011J00001OXdJPQA1,001Nq00000XCNquIAH,1,1
0011J00001OXdJdQAL,001Nq00000XCNqvIAH,1,1
0011J00001OXdJhQAL,001Nq00000XCNqwIAH,1,1
0011J00001OXdKtQAL,001Nq00000XCNqyIAH,1,1
0011J00001OXdRaQAL,001Nq00000XCNr1IAH,1,1
0011J00001OXdK3QAL,001Nq00000XCNqxIAH,1,1
0011J00001OXdRrQAL,001Nq00000XCNr2IAH,1,1
0011J00001OXdRHQA1,001Nq00000XCNr0IAH,1,2
0011J00001OXdR8QAL,001Nq00000as5PQIAY,1,11
0011J00001OXdSGQA1,001Nq00000XCNr3IAH,1,1
0011J00001OXdVUQA1,0013c000020vsaWAAQ,0.912,2
0011J00001OXdSxQAL,001Nq00000XCNr4IAH,1,2
0011J00001OXda6QAD,0011J00001OXduPQAT,0.9279999999999999,1
0011J00001OXdWHQA1,001Nq00000XCNr7IAH,1,1
0011J00001OXda6QAD,0011J00001OnIkNQAV,0.98,1
0011J00001OXdU7QAL,001Nq00000XCNr5IAH,1,1
0011J00001OXdVUQA1,001Nq00000as5PRIAY,1,2
0011J00001OXdYYQA1,001Nq00000XCNr9IAH,1,1
0011J00001OXdXaQAL,001Nq00000XCNr8IAH,1,1
0011J00001OXdZkQAL,001Nq00000as5PSIAY,1,6
0011J00001OXdbDQAT,001Nq00000XCNrFIAX,1,1
0011J00001OXdYjQAL,001Nq00000XCNrBIAX,1,4
0011J00001OXdYZQA1,001Nq00000XCNrAIAX,1,1
0011J00001OXda6QAD,001Nq00000XCNraIAH,0.9279999999999999,1
0011J00001OXda0QAD,001Nq00000XCNrDIAX,1,1
0011J00001OXda6QAD,001Nq00000as5PTIAY,1,1
0011J00001OXdboQAD,001Nq00000XCNrGIAX,1,1
0011J00001OXdgaQAD,0013c0000213DPnAAM,1,1
